#sample	data_type	k_cov	mixture	lineages	log_barcodes	log_errors
l_1.1.1.1_SAMD00178615	assembly	1	no	1.1.1.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.1.1_SAMEA13293697	assembly	1	no	1.1.1.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.1.1_SAMN06055498	assembly	1	no	1.1.1.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.1.1_SAMN06092094	assembly	1	no	1.1.1.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.1_SAMEA112799833	assembly	1	no	1.1.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.1_SAMEA13293470	assembly	1	no	1.1.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.1_SAMEA2782919	assembly	1	no	1.1.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.1_SAMEA2782982	assembly	1	no	1.1.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.1_SAMEA7554684	assembly	1	no	1.1.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.1_SAMN10663289	assembly	1	no	1.1.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.2_SAMEA7525955	assembly	1	no	1.1.2 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.2_SAMEA7526940	assembly	1	no	1.1.2 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.2_SAMEA7552080	assembly	1	no	1.1.2 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.2_SAMEA7552335	assembly	1	no	1.1.2 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.2_SAMN08892540	assembly	1	no	1.1.2 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.2_SAMN19845155	assembly	1	no	1.1.2 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.3.1_SAMEA3446553	assembly	1	no	1.1.3.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.3.1_SAMEA7525023	assembly	1	no	1.1.3.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.3.1_SAMN03648092	assembly	1	no	1.1.3.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.3.1_SAMN15180211	assembly	1	no	1.1.3.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.3.2_SAMEA104394604	assembly	1	no	1.1.3.2 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3.2 (1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.3.2_SAMEA112806838	assembly	1	no	1.1.3.2 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3.2 (1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.3.2_SAMEA3446554	assembly	1	no	1.1.3.2 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3.2 (1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.3.2_SAMEA897822	assembly	1	no	1.1.3.2 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3.2 (1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.3.3_SAMEA7526728	assembly	1	no	1.1.3.3 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3.3 (1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.3.3_SAMEA7527617	assembly	1	no	1.1.3.3 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3.3 (1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.3.3_SAMN07236352	assembly	1	no	1.1.3.3 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3.3 (1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.3.3_SAMN14416871	assembly	1	no	1.1.3.3 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3.3 (1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.3_SAMEA7554555	assembly	1	no	1.1.3 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.3_SAMN08436267	assembly	1	no	1.1.3 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.3_SAMN08629174	assembly	1	no	1.1.3 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.3_SAMN08629218	assembly	1	no	1.1.3 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.3_SAMN08629564	assembly	1	no	1.1.3 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1.3_SAMN26037970	assembly	1	no	1.1.3 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1.3 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1_SAMEA2710920	assembly	1	no	1.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1_SAMEA2711056	assembly	1	no	1.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1_SAMEA2782834	assembly	1	no	1.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1_SAMEA2783203	assembly	1	no	1.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1_SAMEA2783375	assembly	1	no	1.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1_SAMEA2783482	assembly	1	no	1.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1_SAMEA2783618	assembly	1	no	1.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.1_SAMN07236263	assembly	1	no	1.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.2.1.1_SAMEA11225712	assembly	1	no	1.2.1.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.2.1.1_SAMEA112806844	assembly	1	no	1.2.1.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.2.1.1_SAMEA9581505	assembly	1	no	1.2.1.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.2.1.1_SAMN16521595	assembly	1	no	1.2.1.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.2.1.2.1_SAMEA112803978	assembly	1	no	1.2.1.2.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.2.1.2.1_SAMN07765871	assembly	1	no	1.2.1.2.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.2.1.2_SAMEA7563827	assembly	1	no	1.2.1.2 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.2.1.2_SAMN15228613	assembly	1	no	1.2.1.2 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.2.1.2_SAMN16521465	assembly	1	no	1.2.1.2 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.2.1.2_SAMN21896083	assembly	1	no	1.2.1.2 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.2.1_SAMN16521493	assembly	1	no	1.2.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.2.1_SAMN16521733	assembly	1	no	1.2.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.2.1_SAMN19113153	assembly	1	no	1.2.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.2.1_SAMN19113162	assembly	1	no	1.2.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.2.1_SAMN19113165	assembly	1	no	1.2.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.2.1_SAMN19113507	assembly	1	no	1.2.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.2.2.1_SAMEA113538232	assembly	1	no	1.2.2.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.2.2.1_SAMEA7550505	assembly	1	no	1.2.2.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.2.2.1_SAMEA7561800	assembly	1	no	1.2.2.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.2.2.1_SAMN03648253	assembly	1	no	1.2.2.1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.2.2.2_SAMEA4753602	assembly	1	no	1.2.2.2 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.2.2.2_SAMN02599030	assembly	1	no	1.2.2.2 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.2.2.2_SAMN19113270	assembly	1	no	1.2.2.2 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.2.2.2_SAMN30986539	assembly	1	no	1.2.2.2 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1.2.2_SAMEA7525867	assembly	1	no	1.2.2 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.2 (1, 1, 1)	
l_1.2.2_SAMN07765885	assembly	1	no	1.2.2 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.2 (1, 1, 1)	
l_1.2.2_SAMN19113287	assembly	1	no	1.2.2 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.2 (1, 1, 1)	
l_1.2.2_SAMN27761577	assembly	1	no	1.2.2 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.2 (1, 1, 1)	
l_1.2.2_SAMN27764290	assembly	1	no	1.2.2 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.2 (1, 1, 1)	
l_1.2.2_SAMN30158007	assembly	1	no	1.2.2 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 1.2.2 (1, 1, 1)	
l_10_SAMEA3392502	assembly	1	no	10 (1)	10 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_10_SAMEA4798873	assembly	1	no	10 (1)	10 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_1_SAMEA7129322	assembly	1	no	1 (1)	1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 3.1.2.1 (1)	
l_2.1_SAMD00179192	assembly	1	no	2.1 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_2.1_SAMEA1118889	assembly	1	no	2.1 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_2.1_SAMEA7561203	assembly	1	no	2.1 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_2.1_SAMN06055794	assembly	1	no	2.1 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_2.1_SAMN06092056	assembly	1	no	2.1 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_2.1_SAMN10462570	assembly	1	no	2.1 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_2.1_SAMN13108514	assembly	1	no	2.1 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_2.1_SAMN30543398	assembly	1	no	2.1 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1)	
l_2.2.1.1_SAMEA7526155	assembly	1	no	2.2.1.1 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2.1.1 (1, 1, 1, 1, 1, 1)	
l_2.2.1.1_SAMEA9070733	assembly	1	no	2.2.1.1 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2.1.1 (1, 1, 1, 1, 1, 1)	
l_2.2.1.1_SAMN06055799	assembly	1	no	2.2.1.1 (1)	2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2 (1, 1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2.1 (1, 1, 1, 1, 1, 1, 1, 1, 1), 2.2.1.1 (1, 1, 1, 1, 1, 1)	
